Player,Position,Matches_Played,Starts,Minutes_Played,90s_Played,Goals,Assists,Goal_Contributions,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Expected_Goals,Expected_Assists,Progressive_Carries,Progressive_Passes,Progressive_Runs,Per90_Goals,Per90_Assists,Per90_xG,Per90_xA,#,Date of birth/Age,Height,Foot,Contract,Market value,Nat.
Federico Valverde,"MF,DF",29,29,2444.0,27.2,7.0,3.0,10.0,7.0,0.0,0.0,4.0,0.0,1.1,1.9,38.0,133.0,46.0,0.26,0.11,0.04,0.08,8,"Jul 22, 1998 (26)","1,82m",right,"Jun 30, 2029",€130.00m,"['Uruguay', 'Spain']"
Antonio Rüdiger,DF,28,27,2437.0,27.1,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.7,0.3,16.0,77.0,3.0,0.07,0.0,0.11,0.01,22,"Mar 3, 1993 (31)","1,90m",right,"Jun 30, 2026",€24.00m,"['Germany', 'Sierra Leone']"
Kylian Mbappé,FW,27,25,2177.0,24.2,14.0,3.0,17.0,11.0,3.0,5.0,2.0,0.0,16.5,3.0,109.0,83.0,244.0,0.58,0.12,0.79,0.14,9,"Dec 20, 1998 (26)","1,78m",right,"Jun 30, 2029",€160.00m,"['France', 'Cameroon']"
Thibaut Courtois,GK,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"May 11, 1992 (32)","2,00m",left,"Jun 30, 2026",€25.00m,Belgium
Jude Bellingham,MF,24,24,2005.0,22.3,9.0,7.0,16.0,8.0,1.0,2.0,5.0,0.0,6.1,3.5,47.0,135.0,85.0,0.4,0.31,0.32,0.18,5,"Jun 29, 2003 (21)","1,86m",right,"Jun 30, 2029",€180.00m,"['England', 'Ireland']"
Aurélien Tchouaméni,"MF,DF",23,22,1781.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.1,0.6,13.0,115.0,6.0,0.0,0.0,0.06,0.03,14,"Jan 27, 2000 (24)","1,88m",right,"Jun 30, 2028",€80.00m,"['France', 'Cameroon']"
Rodrygo,"FW,MF",23,17,1529.0,17.0,7.0,4.0,11.0,7.0,0.0,0.0,0.0,0.0,3.0,2.2,67.0,68.0,149.0,0.41,0.24,0.21,0.15,11,"Jan 9, 2001 (24)","1,74m",right,"Jun 30, 2028",€100.00m,"['Brazil', 'Spain']"
Lucas Vázquez,DF,25,17,1491.0,16.6,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.9,1.9,20.0,50.0,113.0,0.12,0.18,0.06,0.13,17,"Jul 1, 1991 (33)","1,73m",right,"Jun 30, 2025",€3.50m,Spain
Ferland Mendy,DF,20,18,1438.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.1,10.0,40.0,47.0,0.0,0.0,0.0,0.0,23,"Jun 8, 1995 (29)","1,80m",left,"Jun 30, 2025",€18.00m,"['France', 'Senegal']"
Éder Militão,DF,17,15,1309.0,14.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.7,9.0,58.0,2.0,0.07,0.07,0.06,0.05,3,"Jan 18, 1998 (26)","1,86m",right,"Jun 30, 2028",€40.00m,"['Brazil', 'Spain']"
Brahim Díaz,"FW,MF",21,9,915.0,10.2,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,2.2,2.9,24.0,48.0,56.0,0.2,0.39,0.24,0.32,21,"Aug 3, 1999 (25)","1,70m",both,"Jun 30, 2027",€35.00m,"['Morocco', 'Spain']"
Eduardo Camavinga,MF,15,11,904.0,10.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.1,0.8,12.0,48.0,14.0,0.1,0.2,0.02,0.1,6,"Nov 10, 2002 (22)","1,82m",left,"Jun 30, 2029",€80.00m,"['France', 'Congo']"
Arda Güler,MF,21,8,769.0,8.5,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.2,2.2,21.0,44.0,49.0,0.35,0.35,0.29,0.29,15,"Feb 25, 2005 (19)","1,75m",left,"Jun 30, 2029",€45.00m,Türkiye
Dani Ceballos,MF,18,7,761.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.4,9.0,63.0,6.0,0.0,0.0,0.03,0.06,19,"Aug 7, 1996 (28)","1,79m",right,"Jun 30, 2027",€4.00m,Spain
Raúl Asencio,DF,12,5,618.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,2.0,7.0,1.0,0.0,0.15,0.0,0.09,35,"Feb 13, 2003 (21)","1,84m",right,"Jun 30, 2026",€7.50m,Spain
Andriy Lunin,GK,6,6,540.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.17,0.0,0.19,13,"Feb 11, 1999 (25)","1,91m",right,"Jun 30, 2030",€20.00m,Ukraine
Endrick,FW,16,2,260.0,2.9,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.3,0.4,5.0,5.0,18.0,0.69,0.0,0.67,0.23,16,"Jul 21, 2006 (18)","1,73m",left,"Jun 30, 2030",€40.00m,Brazil
Jesús Vallejo,DF,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,"Jan 5, 1997 (28)","1,84m",right,"Jun 30, 2025",€1.00m,Spain
David Alaba,"DF,MF",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"Jun 24, 1992 (32)","1,80m",left,"Jun 30, 2026",€10.00m,Austria
